Nom,address_raw,formatted_address,lat,lng,non_dangereux,dangereux,amiantes
Déchèterie Lanslebourg-Mont-Cenis,Déchèterie Lanslebourg-Mont-Cenis Lanslebourg Rd 1006. Entrée Village Lanslebourg-Mont-Cenis* 73480,"D1006, 73480 Val-Cenis, France",45.2531091,6.908262,True,True,True
Déchèterie Lhuis,Déchèterie Lhuis la Plaine  Lhuis 01680,"La Plaine - D79 route du pont de Groslee, 221 Rte de BARLET, 01680 Lhuis, France",45.724636,5.539342,True,True,False
Déchèterie Livet-et-Gavet,Déchèterie Livet-et-Gavet Livet-et-Gavet  Livet-et-Gavet 38220,"38220 Livet-et-Gavet, France",45.0993627,5.9186099,True,True,True
Déchèterie Livron-sur-drome,Déchèterie Livron-sur-drome Champagnac Champagnac Livron-sur-Drôme 26250,"Chem. de Couthiol, 26250 Livron-sur-Drôme, France",44.7888227,4.8410639,True,True,False
Déchèterie Lorette,Déchèterie Lorette Rue Adèle Bourdon  Lorette 42420,"Rue Adèle Bourdon, 42420 Lorette, France",45.514907,4.579659,False,False,True
Déchèterie Loriol-sur-drome,Déchèterie Loriol-sur-drome Zi des Blaches Zone des Blaches Loriol-sur-Drôme 26270,"15 Vieille Route de Saulce, 26270 Loriol-sur-Drôme, France",44.738259,4.805874999999999,True,True,False
Déchèterie Luc-en-diois,Déchèterie Luc-en-diois Luc-en-diois  Luc-en-Diois 26310,"26310 Luc-en-Diois, France",44.6151,5.452401,True,True,False
Déchèterie Lugrin,Déchèterie Lugrin Route de Thollon Route de Thollon Lugrin 74500,"Rte de Thollon, 74500 Lugrin, France",46.3929791,6.6491301,True,True,False
Déchèterie Lus-la-Croix-Haute,Déchèterie Lus-la-Croix-Haute Déchetterie de Lus Lus la Crois Haute Lus-la-Croix-Haute 26620,"Lus-la-Croix-Haute, 26620 Lus-la-Croix-Haute, France",44.6709974,5.6973582,True,True,False
Déchèterie Lyon 7,"Déchèterie Lyon 7 Lyon 7ème 12, Bld de l'Artillerie Lyon 69007","12 Bd de l'Artillerie, 69007 Lyon, France",45.73525739999999,4.8423061,True,True,False
Déchèterie Lyon 9,"Déchèterie Lyon 9 Lyon 9ème 82, Avenue Sidoine Appolinaire Lyon 69009","82 Av. Sidoine Apollinaire, 69009 Lyon, France",45.7684445,4.795211,True,True,False
Déchèterie Macot-la-Plagne,Déchèterie Macot-la-Plagne Déchetterie Rd 221- la Plagne Sigp Mâcot-la-Plagne* 73210,"73210 La Plagne-Tarentaise, France",45.554691,6.659199,True,True,False
Déchèterie Malataverne,Déchèterie Malataverne Malataverne  Malataverne 26780,"26780 Malataverne, France",44.4862218,4.7525045,True,True,False
Déchèterie Marches,Déchèterie Marches la Gare de Marches Za Gare de Marches Marches 26300,"56 Rue des Batisseurs, 26300 Marches, France",44.9860179,5.104315499999999,False,False,True
Déchèterie Menglon,Déchèterie Menglon Déchetterie Menglon Menglon 26410,"26410 Menglon, France",44.663684,5.46292,True,True,False
Déchèterie Mens,Déchèterie Mens Za Terre des Ruisseaux  Mens 38710,"38710 Mens, France",44.817587,5.751558999999999,True,True,False
Déchèterie Mercurol,Déchèterie Mercurol Déchetterie des Lots Quartier les Lots Mercurol* 26600,"ZAC des Lots, 26600 Mercurol-Veaunes, France",45.063105,4.8730182,False,False,True
Déchèterie Mions,Déchèterie Mions Mions Boulevard des Nations Mions 69780,"Bd des Nations, 69780 Mions, France",45.6726864,4.9326004,True,True,False
Déchèterie Miribel,Déchèterie Miribel Zi de Tuillere Rue de la Traille Miribel 01700,"ZI, 1745 Rue de la Traille, 01700 Miribel, France",45.82309129999999,4.9629886,True,True,False
Déchèterie Mobile Ex-ccmhf,Déchèterie Mobile Ex-ccmhf Déchèterie Mobile  Noirétable 42440,"42440 Noirétable, France",45.81676400000001,3.76642,True,True,False
Déchèterie Modane,Déchèterie Modane l'Isle l'Isle Modane 73500,"Rue de l'Isle, 73500 Modane, France",45.2063126,6.6806686,True,True,True
Déchèterie Moirans,Déchèterie Moirans Za Valmorge Av Aldo Eriani Moirans 38430,"Av. Aldo Eriani, 38430 Moirans, France",45.3234268,5.5740293,True,True,False
Déchèterie Monestier-de-Clermont,Déchèterie Monestier-de-Clermont les Carlaires Parc Louis Samuel Monestier-de-Clermont 38650,"Parc Louis Samuel, 38650 Monestier-de-Clermont, France",44.916434,5.635643,True,True,False
Déchèterie Monsols,Déchèterie Monsols les Places les Places Monsols* 69860,"Le Colombier, 69860 Deux-Grosnes, France",46.2258834,4.5242333,True,True,False
Déchèterie Mont-Saxonnex,Déchèterie Mont-Saxonnex Zi de Pleine Mouille  Mont-Saxonnex 74130,"Rue de la Mouillé, 74130 Mont-Saxonnex, France",46.051406,6.4786149,True,True,False
Déchèterie Mont-de-Lans,Déchèterie Mont-de-Lans Déchèterie de Champet Route des 2 Alpes - Virage N°2 Mont-de-Lans* 38860,"Les Deux Alpes, 38860 Les Deux Alpes, France",45.0176294,6.1248743,True,True,True
Déchèterie Montferrat,Déchèterie Montferrat Grand Etang Route Saint Geoire Montferrat 38620,"Route de St Geoire, 38620, France",45.4438723,5.6201828,True,True,False
Déchèterie Montrottier,Déchèterie Montrottier les Auberges  Montrottier 69770,"Les Auberges, 69770 Montrottier, France",45.7888975,4.4456983,True,True,True
Déchèterie Montvalezan,Déchèterie Montvalezan Genièvre  Montvalezan 73700,"73700 Montvalezan, France",45.611792,6.846731,True,True,False
Déchèterie Montvendre,Déchèterie Montvendre Déchetterie de la Molle Quartier la Molle Montvendre 26120,"Quartier de, La Molle, 26120 Montvendre, France",44.8743419,5.0189794,False,False,True
Déchèterie Morzine,Déchèterie Morzine le Couard 354 Route d'Essert-romand Morzine 74110,"354 Rte d'Essert-Romand, 74110 Morzine, France",46.192956,6.681212899999999,True,True,False
Déchèterie Moutiers - Villarlurin,Déchèterie Moutiers - Villarlurin Salins-les-thermes Ile Ferlay Ile Ferlay Villarlurin* 73600,"73600 Les Belleville, France",45.4642133,6.5357305,True,True,False
Déchèterie Nantoin,Déchèterie Nantoin les Grandes Terres Nantoin Nantoin* 38260,"Nantoin, 38260 Porte-des-Bonnevaux, France",45.43686539999999,5.2704283,True,True,False
Déchèterie Neuville-sur-Saone,Déchèterie Neuville-sur-Saone Neuville-sur-Saone Avenue des Freres Lumiere Neuville-sur-Saône 69250,"790 Av. des Frères Lumière, 69250 Neuville-sur-Saône, France",45.8851007,4.8182361,True,True,False
